PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,c2:28:53:ec:7e:67,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,c2:28:53:ec:7e:67,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Hidden SSID
PR-REQ,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Broadcast
AP-RES,2018-08-10 13:35:46,52.479,-1.8917,Client,34:69:87:ea:bd:8a,Zte Corporation,Hidden SSID
PR-REQ,2018-08-10 13:35:47,52.479,-1.8917,Client,92:4d:e4:73:fe:6d,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:47,52.479,-1.8917,Client,92:4d:e4:73:fe:6d,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:47,52.479,-1.8917,Client,92:4d:e4:73:fe:6d,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:47,52.479,-1.8917,Client,92:4d:e4:73:fe:6d,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:47,52.479,-1.8917,Client,92:4d:e4:73:fe:6d,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:47,52.479,-1.8917,Client,92:4d:e4:73:fe:6d,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:48,52.479,-1.8917,Client,7a:8f:1e:a0:2e:09,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:48,52.479,-1.8917,Client,7a:8f:1e:a0:2e:09,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:48,52.479,-1.8917,BSSID,84:24:8d:35:4d:c0,Zebra Technologies Inc,Selfridges
AP-BEC,2018-08-10 13:35:49,52.479,-1.8917,BSSID,72:a6:7f:64:f9:1d,Unknown Vendor,iPhone
PR-REQ,2018-08-10 13:35:49,52.479,-1.8917,Client,4e:03:1e:93:93:ba,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:49,52.479,-1.8917,Client,4e:03:1e:93:93:ba,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:49,52.479,-1.8917,BSSID,84:24:8d:3a:a7:e1,Zebra Technologies Inc,xrayBr
PR-REQ,2018-08-10 13:35:49,52.479,-1.8917,Client,ba:f5:02:2c:ba:c0,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:49,52.479,-1.8917,Client,ba:f5:02:2c:ba:c0,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:49,52.479,-1.8917,Client,a2:c8:c8:0e:6f:be,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:49,52.479,-1.8917,Client,a2:c8:c8:0e:6f:be,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:49,52.479,-1.8917,Client,28:be:03:ba:2e:49,Tct Mobile Ltd,Broadcast
AP-RES,2018-08-10 13:35:49,52.479,-1.8917,Client,28:be:03:ba:2e:49,Tct Mobile Ltd,Hidden SSID
AP-BEC,2018-08-10 13:35:50,52.479,-1.8917,BSSID,c6:9f:db:b2:8e:e3,Unknown Vendor,SRSMaint
PR-REQ,2018-08-10 13:35:50,52.479,-1.8917,Client,a2:c8:c8:0e:6f:be,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:50,52.479,-1.8917,Client,a2:c8:c8:0e:6f:be,Unknown Vendor,Hidden SSID
