AP-RES,2018-08-14 13:30:45,52.4387,-1.9154,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-BEC,2018-08-14 13:30:45,52.4387,-1.9154,BSSID,24:a7:dc:57:2e:2a,Bskyb Ltd,SKY7A11E
AP-BEC,2018-08-14 13:30:45,52.4387,-1.9154,BSSID,a0:21:b7:f7:44:44,Netgear,virginmedia1609186
AP-BEC,2018-08-14 13:30:45,52.4387,-1.9154,BSSID,8c:3b:ad:b2:5c:34,Unknown Vendor,VM5190234_EXT
AP-BEC,2018-08-14 13:30:45,52.4387,-1.9154,BSSID,40:0d:10:9e:71:79,Arris Group Inc.,VM2696626
AP-BEC,2018-08-14 13:30:45,52.4387,-1.9154,BSSID,a0:8e:78:1c:3f:d0,Sagemcom Broadband Sas,PLUSNET-WMNQ
AP-BEC,2018-08-14 13:30:46,52.4387,-1.9154,BSSID,90:21:06:ce:d5:b9,Bskyb Ltd,SKY5A4F7
PR-REQ,2018-08-14 13:30:47,52.4387,-1.9154,Client,da:48:a5:e9:1c:20,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:47,52.4387,-1.9154,Client,da:48:a5:e9:1c:20,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-14 13:30:47,52.4387,-1.9154,BSSID,00:07:26:c5:92:be,Shenzhen Gongjin Electronics Co. Ltd.,BTMiniHub-J7J9
AP-BEC,2018-08-14 13:30:49,52.4387,-1.9154,BSSID,56:64:d9:1e:ad:f4,Unknown Vendor,BTWi-fi
AP-BEC,2018-08-14 13:30:49,52.4387,-1.9154,BSSID,76:64:d9:1e:ad:f4,Unknown Vendor,BTWifi-X
AP-BEC,2018-08-14 13:30:49,52.4387,-1.9154,BSSID,60:38:e0:4f:32:16,Belkin International Inc.,PLUSNET-WMNQ
PR-REQ,2018-08-14 13:30:55,52.4387,-1.9156,Client,66:9d:55:ec:44:c9,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:30:55,52.4387,-1.9156,Client,66:9d:55:ec:44:c9,Unknown Vendor,Hidden SSID
