AP-RES,2018-08-06 12:57:27,52.4388,-1.9145,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-BEC,2018-08-06 12:57:27,52.4388,-1.9145,BSSID,48:8d:36:b5:73:c7,Arcadyan Corporation,EE-b5yayk
PR-REQ,2018-08-06 12:57:29,52.4388,-1.9145,Client,9c:04:eb:a3:c4:e6,Apple Inc.,NOWTV71AC3
AP-RES,2018-08-06 12:57:29,52.4388,-1.9145,Client,9c:04:eb:a3:c4:e6,Apple Inc.,NOWTV71AC3
AP-BEC,2018-08-06 12:57:46,52.4388,-1.9145,BSSID,40:0d:10:43:16:41,Arris Group Inc.,VM7873751
AP-BEC,2018-08-06 12:57:47,52.4388,-1.9145,BSSID,52:0d:10:43:16:41,Unknown Vendor,Virgin Media
PR-REQ,2018-08-06 12:57:57,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:57:57,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-06 12:58:07,52.4387,-1.9144,Client,da:a1:76:80:e3:ea,Unknown Vendor,Broadcast
AP-RES,2018-08-06 12:58:07,52.4387,-1.9144,Client,da:a1:76:80:e3:ea,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-06 12:58:07,52.4387,-1.9144,Client,da:a1:76:80:e3:ea,Unknown Vendor,Broadcast
AP-RES,2018-08-06 12:58:07,52.4387,-1.9144,Client,da:a1:76:80:e3:ea,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-06 12:58:17,52.4387,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-RES,2018-08-06 12:58:17,52.4387,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
PR-REQ,2018-08-06 12:58:17,52.4387,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-RES,2018-08-06 12:58:17,52.4387,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-BEC,2018-08-06 12:58:17,52.4387,-1.9143,BSSID,84:20:96:76:f2:5d,Shenzhen Rf-Link Technology Co.Ltd.,CarDV-25d
PR-REQ,2018-08-06 12:58:26,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:26,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:26,52.4387,-1.9144,Client,04:d6:aa:16:bd:15,Samsung Electro-Mechanics(Thailand),Broadcast
AP-RES,2018-08-06 12:58:26,52.4387,-1.9144,Client,04:d6:aa:16:bd:15,Samsung Electro-Mechanics(Thailand),Hidden SSID
PR-REQ,2018-08-06 12:58:27,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:27,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:28,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:28,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:28,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:58:28,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-06 12:58:30,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:30,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:31,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:58:31,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
AP-BEC,2018-08-06 12:58:36,52.4387,-1.9144,BSSID,f8:1d:0f:3c:e4:18,Hitron Technologies. Inc,VM2CE418
PR-REQ,2018-08-06 12:58:36,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:58:36,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:58:37,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:37,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:37,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:58:37,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-06 12:58:38,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:58:38,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:58:39,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:39,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:40,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:40,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:40,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-06 12:58:40,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-06 12:58:41,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-06 12:58:41,52.4387,-1.9144,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
PR-REQ,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:58:46,52.4388,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
